datetime,Global_active_power,hour,day_of_week,is_weekend,rolling_mean,rolling_std,z_score,anomaly,anomaly_type
2006-12-19 08:00:00,3.87903333333333,8,1,0,1.5086777777777771,0.7844253438437669,3.0217732944993343,True,High Consumption
2006-12-22 19:00:00,3.93816666666667,19,4,0,1.1534416666666671,0.8165130251955617,3.4105089742236974,True,High Consumption
2006-12-22 21:00:00,4.54866666666667,21,4,0,1.2717638888888896,1.0568983934599525,3.1004898844156936,True,High Consumption
2006-12-25 16:00:00,3.87283333333333,16,0,0,1.236561111111111,0.8706861874249661,3.0278098588182867,True,High Consumption
2006-12-26 22:00:00,0.8636,22,1,0,2.947658333333333,0.5789227440678351,-3.5998902352489615,True,Low Consumption
2006-12-26 23:00:00,0.7682,23,1,0,2.8080222222222218,0.6586550801118622,-3.0969505645895725,True,Low Consumption
2006-12-28 21:00:00,5.03533333333333,21,3,0,1.1220763888888883,0.8746019812197685,4.474328927298789,True,High Consumption
2007-01-01 14:00:00,1.2944,14,0,0,2.594518055555555,0.23803899935803763,-5.461785921894379,True,Low Consumption
2007-01-01 16:00:00,1.3901,16,0,0,2.495934722222222,0.3600578636373142,-3.0712694649994594,True,Low Consumption
2007-01-01 19:00:00,0.7323,19,0,0,2.349490277777777,0.4807793929485487,-3.3636846784546837,True,Low Consumption
2007-01-01 20:00:00,0.4123,20,0,0,2.278574999999999,0.5824925783151819,-3.2039464011680048,True,Low Consumption
2007-01-02 17:00:00,2.1362,17,1,0,0.6636027777777782,0.4076683792392661,3.612242933754582,True,High Consumption
2007-01-02 20:00:00,2.57353333333333,20,1,0,0.7386152777777782,0.5404753651966648,3.395007753753722,True,High Consumption
2007-01-04 00:00:00,3.37506666666667,0,3,0,0.7042041666666664,0.4416504666772026,6.047457665095387,True,High Consumption
2007-01-04 01:00:00,2.89673333333333,1,3,0,0.797938888888889,0.6988024484765254,3.0034159854763947,True,High Consumption
2007-01-07 13:00:00,3.33193333333333,13,6,1,0.7809638888888882,0.49791654384006556,5.123287177346395,True,High Consumption
2007-01-07 15:00:00,3.77076666666667,15,6,1,0.8757569444444436,0.751496927361477,3.8523240971678647,True,High Consumption
2007-01-07 18:00:00,5.21153333333333,18,6,1,1.1060624999999995,1.0285924406759488,3.991348439849882,True,High Consumption
2007-01-20 13:00:00,4.25103333333333,13,5,1,1.4221833333333327,0.651560895007811,4.341650982547202,True,High Consumption
2007-01-20 18:00:00,4.31236666666667,18,5,1,1.8416374999999992,0.7832747389317154,3.1543582907274956,True,High Consumption
2007-01-20 19:00:00,5.34303333333333,19,5,1,1.9906999999999992,0.895817191334176,3.742206965620483,True,High Consumption
2007-01-21 19:00:00,5.33043333333333,19,6,1,2.0955097222222214,1.0482853631788376,3.0859188964553255,True,High Consumption
2007-01-21 20:00:00,6.07656666666667,20,6,1,2.0949847222222213,1.046590015885227,3.804337786536924,True,High Consumption
2007-01-28 12:00:00,4.19583333333333,12,6,1,1.8366805555555556,0.6542848189001118,3.6056969528096925,True,High Consumption
2007-02-02 23:00:00,3.4555,23,4,0,1.0716055555555555,0.7130267809855217,3.3433448897242055,True,High Consumption
2007-02-03 18:00:00,5.02113333333333,18,5,1,2.289475,0.83633639900143,3.2662195936884713,True,High Consumption
2007-02-03 19:00:00,5.81466666666667,19,5,1,2.403309722222222,1.0051714977321289,3.3938058850068495,True,High Consumption
