datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,day_of_week,is_weekend,rolling_mean,rolling_std,z_score,excess_power,avoidable_power,potential_saving_kwh,potential_cost_saving,recommendation,severity
2006-12-19 08:00:00,3.87903333333333,0.122433333333333,236.146333333333,16.54,9.35,26.1833333333333,17.1,8,1,0,1.5086777777777771,0.7844253438437669,3.0217732944993343,2.3703555555555527,2.3703555555555527,0.7111066666666658,5.688853333333326,Review the active loads during this period and consider shifting flexible usage. Consider scheduling flexible loads outside high-consumption periods.,Moderate
2006-12-22 19:00:00,3.93816666666667,0.2473,237.406,16.54,0.0,0.0,17.2666666666667,19,4,0,1.1534416666666671,0.8165130251955617,3.4105089742236974,2.784725000000003,2.784725000000003,0.8354175000000009,6.683340000000007,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2006-12-22 21:00:00,4.54866666666667,0.065933333333333,235.136166666667,19.4533333333333,9.18333333333334,0.0,16.75,21,4,0,1.2717638888888896,1.0568983934599525,3.1004898844156936,3.2769027777777806,3.2769027777777806,0.9830708333333341,7.864566666666673,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2006-12-25 16:00:00,3.87283333333333,0.4538,241.694666666667,16.3,27.4166666666667,0.233333333333333,0.0,16,0,0,1.236561111111111,0.8706861874249661,3.0278098588182867,2.636272222222219,2.636272222222219,0.7908816666666656,6.327053333333325,Review the active loads during this period and consider shifting flexible usage. Consider scheduling flexible loads outside high-consumption periods.,Moderate
2006-12-26 22:00:00,0.8636,0.102466666666667,244.592333333333,3.76333333333333,0.0,0.6,0.0,22,1,0,2.947658333333333,0.5789227440678351,-3.5998902352489615,-2.084058333333333,0.0,0.0,0.0,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2006-12-26 23:00:00,0.7682,0.0795,246.520333333333,3.33333333333333,0.0,0.0,0.0,23,1,0,2.8080222222222218,0.6586550801118622,-3.0969505645895725,-2.039822222222222,0.0,0.0,0.0,Review the active loads during this period and consider shifting flexible usage. Consider scheduling flexible loads outside high-consumption periods.,Moderate
2006-12-28 21:00:00,5.03533333333333,0.1657,237.2945,21.4066666666667,10.6666666666667,29.5666666666667,15.25,21,3,0,1.1220763888888883,0.8746019812197685,4.474328927298789,3.9132569444444423,3.9132569444444423,1.1739770833333327,9.391816666666662,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2007-01-01 14:00:00,1.2944,0.241233333333333,240.656666666667,5.61,0.0,0.233333333333333,9.05,14,0,0,2.594518055555555,0.23803899935803763,-5.461785921894379,-1.3001180555555552,0.0,0.0,0.0,Review the active loads during this period and consider shifting flexible usage. Consider scheduling flexible loads outside high-consumption periods.,Moderate
2007-01-01 16:00:00,1.3901,0.110633333333333,239.3875,5.74666666666667,0.0,0.0,17.55,16,0,0,2.495934722222222,0.3600578636373142,-3.0712694649994594,-1.1058347222222222,0.0,0.0,0.0,Review the active loads during this period and consider shifting flexible usage. Consider scheduling flexible loads outside high-consumption periods.,Moderate
2007-01-01 19:00:00,0.7323,0.127166666666667,237.758,3.08666666666667,0.0,0.466666666666667,4.71666666666667,19,0,0,2.349490277777777,0.4807793929485487,-3.3636846784546837,-1.6171902777777771,0.0,0.0,0.0,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2007-01-01 20:00:00,0.4123,0.071133333333333,237.826833333333,1.71666666666667,0.0,0.116666666666667,0.0,20,0,0,2.278574999999999,0.5824925783151819,-3.2039464011680048,-1.866274999999999,0.0,0.0,0.0,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2007-01-02 17:00:00,2.1362,0.2619,238.177666666667,9.12,0.0,0.066666666666667,8.41666666666667,17,1,0,0.6636027777777782,0.4076683792392661,3.612242933754582,1.472597222222222,1.472597222222222,0.44177916666666656,3.5342333333333324,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2007-01-02 20:00:00,2.57353333333333,0.370266666666667,238.4945,10.8566666666667,0.0,0.583333333333333,17.4166666666667,20,1,0,0.7386152777777782,0.5404753651966648,3.395007753753722,1.8349180555555518,1.8349180555555518,0.5504754166666656,4.403803333333324,"Review the active loads during this period and consider shifting flexible usage. This occurred during an evening period, so peak-load shifting may help reduce consumption.",Moderate
2007-01-04 00:00:00,3.37506666666667,0.0809,239.734,14.09,8.48333333333333,9.53333333333333,0.0,0,3,0,0.7042041666666664,0.4416504666772026,6.047457665095387,2.6708625000000037,2.6708625000000037,0.8012587500000011,6.410070000000009,Reduce non-essential loads and shift flexible equipment usage to a lower-consumption period. Consider scheduling flexible loads outside high-consumption periods.,High
