datetime,actual_power,baseline_power,z_score,deviation_pct,severity,explanation,recommendation,potential_saving_kwh,potential_cost_saving
2006-12-19 08:00:00,3.87903333333333,1.5086777777777771,3.0217732944993343,157.1147656888665,Moderate,Consumption is 157.1% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage.,0.7111066666666658,5.688853333333326
2006-12-22 19:00:00,3.93816666666667,1.1534416666666671,3.4105089742236974,241.4274670731797,Moderate,Consumption is 241.4% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.8354175000000009,6.683340000000007
2006-12-22 21:00:00,4.54866666666667,1.2717638888888896,3.1004898844156936,257.66597136522995,Moderate,Consumption is 257.7% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.9830708333333341,7.864566666666673
2006-12-25 16:00:00,3.87283333333333,1.236561111111111,3.0278098588182867,213.19384853154557,Moderate,Consumption is 213.2% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage.,0.7908816666666656,6.327053333333325
2006-12-26 22:00:00,0.8636,2.947658333333333,-3.5998902352489615,-70.70216753977027,Moderate,Consumption is -70.7% above the recent 24-hour baseline.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.0,0.0
2006-12-26 23:00:00,0.7682,2.8080222222222218,-3.0969505645895725,-72.64266664556311,Moderate,Consumption is -72.6% above the recent 24-hour baseline.,Review active loads and consider shifting flexible electricity usage.,0.0,0.0
2006-12-28 21:00:00,5.03533333333333,1.1220763888888883,4.474328927298789,348.7513847715359,Moderate,Consumption is 348.8% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,1.1739770833333327,9.391816666666662
2007-01-01 14:00:00,1.2944,2.594518055555555,-5.461785921894379,-50.110194946288985,Moderate,Consumption is -50.1% above the recent 24-hour baseline.,Review active loads and consider shifting flexible electricity usage.,0.0,0.0
2007-01-01 16:00:00,1.3901,2.495934722222222,-3.0712694649994594,-44.30543444812759,Moderate,Consumption is -44.3% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage.,0.0,0.0
2007-01-01 19:00:00,0.7323,2.349490277777777,-3.3636846784546837,-68.83153733699922,Moderate,Consumption is -68.8% above the recent 24-hour baseline.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.0,0.0
2007-01-01 20:00:00,0.4123,2.278574999999999,-3.2039464011680048,-81.9053575151136,Moderate,Consumption is -81.9% above the recent 24-hour baseline.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.0,0.0
2007-01-02 17:00:00,2.1362,0.6636027777777782,3.612242933754582,221.90944214452233,Moderate,Consumption is 221.9% above the recent 24-hour baseline.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.44177916666666656,3.5342333333333324
2007-01-02 20:00:00,2.57353333333333,0.7386152777777782,3.395007753753722,248.42676705471698,Moderate,Consumption is 248.4% above the recent 24-hour baseline. High sub-metering activity indicates significant appliance/load usage.,Review active loads and consider shifting flexible electricity usage. Consider shifting flexible loads away from evening peak hours.,0.5504754166666656,4.403803333333324
