datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,day_of_week,is_weekend,date,previous_hour_power,previous_day_power,rolling_mean,rolling_std,z_score,anomaly,deviation_percent,explanation,severity
2006-12-19 08:00:00,3.87903333333333,0.122433333333333,236.146333333333,16.54,9.35,26.1833333333333,17.1,8,1,0,2006-12-19,1.78563333333333,2.08213333333333,1.5086777777777771,0.7844253438437669,3.0217732944993343,True,157.1147656888665,High consumption anomaly detected at 2006-12-19 08:00. consumption was 157% above the recent 24-hour baseline. consumption increased 117% compared with the previous hour. consumption was 86% higher than the same hour on the previous day. sub-metering activity was 52.63.,Moderate
2006-12-22 19:00:00,3.93816666666667,0.2473,237.406,16.54,0.0,0.0,17.2666666666667,19,4,0,2006-12-22,2.68696666666667,2.19713333333333,1.1534416666666671,0.8165130251955617,3.4105089742236974,True,241.4274670731797,High consumption anomaly detected at 2006-12-22 19:00. consumption was 241% above the recent 24-hour baseline. consumption was 79% higher than the same hour on the previous day. sub-metering activity was 17.27.,Moderate
2006-12-22 21:00:00,4.54866666666667,0.065933333333333,235.136166666667,19.4533333333333,9.18333333333334,0.0,16.75,21,4,0,2006-12-22,3.53606666666667,0.982266666666667,1.2717638888888896,1.0568983934599525,3.1004898844156936,True,257.66597136522995,High consumption anomaly detected at 2006-12-22 21:00. consumption was 258% above the recent 24-hour baseline. consumption was 363% higher than the same hour on the previous day. sub-metering activity was 25.93.,Moderate
2006-12-25 16:00:00,3.87283333333333,0.4538,241.694666666667,16.3,27.4166666666667,0.233333333333333,0.0,16,0,0,2006-12-25,1.74033333333333,2.00713333333333,1.236561111111111,0.8706861874249661,3.0278098588182867,True,213.19384853154557,High consumption anomaly detected at 2006-12-25 16:00. consumption was 213% above the recent 24-hour baseline. consumption increased 123% compared with the previous hour. consumption was 93% higher than the same hour on the previous day. sub-metering activity was 27.65.,Moderate
2006-12-26 22:00:00,0.8636,0.102466666666667,244.592333333333,3.76333333333333,0.0,0.6,0.0,22,1,0,2006-12-26,2.6584,4.21486666666667,2.947658333333333,0.5789227440678351,-3.5998902352489615,True,-70.70216753977027,High consumption anomaly detected at 2006-12-26 22:00. sub-metering activity was 0.60.,Moderate
2006-12-26 23:00:00,0.7682,0.0795,246.520333333333,3.33333333333333,0.0,0.0,0.0,23,1,0,2006-12-26,0.8636,2.59223333333333,2.8080222222222218,0.6586550801118622,-3.0969505645895725,True,-72.64266664556311,High consumption anomaly detected at 2006-12-26 23:00. consumption significantly differed from recent historical behavior.,Moderate
2006-12-28 21:00:00,5.03533333333333,0.1657,237.2945,21.4066666666667,10.6666666666667,29.5666666666667,15.25,21,3,0,2006-12-28,2.11676666666667,1.32973333333333,1.1220763888888883,0.8746019812197685,4.474328927298789,True,348.7513847715359,High consumption anomaly detected at 2006-12-28 21:00. consumption was 349% above the recent 24-hour baseline. consumption increased 138% compared with the previous hour. consumption was 279% higher than the same hour on the previous day. sub-metering activity was 55.48.,Moderate
2007-01-01 14:00:00,1.2944,0.241233333333333,240.656666666667,5.61,0.0,0.233333333333333,9.05,14,0,0,2007-01-01,2.1624,3.0813,2.594518055555555,0.23803899935803763,-5.461785921894379,True,-50.110194946288985,High consumption anomaly detected at 2007-01-01 14:00. sub-metering activity was 9.28.,Moderate
2007-01-01 16:00:00,1.3901,0.110633333333333,239.3875,5.74666666666667,0.0,0.0,17.55,16,0,0,2007-01-01,1.90916666666667,2.838,2.495934722222222,0.3600578636373142,-3.0712694649994594,True,-44.30543444812759,High consumption anomaly detected at 2007-01-01 16:00. sub-metering activity was 17.55.,Moderate
2007-01-01 19:00:00,0.7323,0.127166666666667,237.758,3.08666666666667,0.0,0.466666666666667,4.71666666666667,19,0,0,2007-01-01,1.4619,2.43426666666667,2.349490277777777,0.4807793929485487,-3.3636846784546837,True,-68.83153733699922,High consumption anomaly detected at 2007-01-01 19:00. sub-metering activity was 5.18.,Moderate
